neighborhood,description,history,vibe,activities_attractions
matthews-beach,"Ah, Matthews Beach! A neighborhood within a neighborhood. At the southern end of Lake City, this residential area is home to one of North Seattle’s most popular lakeside hangouts as well as some pretty swanky houses.","We can all thank the Lake Washington Ship Canal project for this whole neighborhood; without it, the area would still be a wetland. We can also thank John G. Matthews for homesteading here and loaning his name. Finally, the Northern Pacific Railway deserves a shout-out for becoming the Burke-Gilman trail, which wiggles its way up along the waterfront amongst houses and trees.","You can tell that the people who live here have a respect for nature. Houses are tucked into the shade of giant old evergreen trees and the Burke-Gilman is woodsier than in other parts of the city. Just south of the beach, the natural habitat has been restored to be friendlier to native plants and animals. And while the residential area is a bit secluded, it isn’t far to Lake City Way or Northgate where more of the action lies.","I bet I don’t even have to tell you what the main attraction here is. I’ll give you a hint: it shares its name with the neighborhood. That’s right, Matthews Beach! On those rare hot and sunny days in Seattle, this beach is packed with sunbathers and swimmers, and an ice cream truck is always passing through. It doesn’t even have to be hot – check out the park everyNew Year’s Day for the Polar Bear Plungewhere thrill seekers don creative costumes and kick off the new year right. The Burke-Gilman trail swings right through the park; take it north to admire the lakefront houses, south to get more of a nature feel."
northgate,"As one of the largest neighborhoods in north Seattle, Northgate has it all. It can be divided into four smaller sections: Haller Lake, Pinehurst, Maple Leaf, and North College Park (or Licton Springs), and has everything from a private lake to the world’s first mall.","It’s hard to imagine the Northgate area as it once was—a bog, inhabited by Native Americans and farmed for cranberries and other wild foods. Settlements crept in as they often do, and now we have Interstate 5, North Seattle Community College, and the Northgate mall in place of the original habitat.The mall is its own kind of jungle, however. And apparently this was the country’s first shopping center to be called a “mall,” so we should all take a moment to thank this neighborhood for revolutionizing our collective retail experiences. More recently, new housing and commercial complexes have been built, while at the same time work has been done to preserve and protect Thornton Creek, which runs through the neighborhood.","The region around the mall obviously sees the most action, and with the addition of the new condo complex and movie theaters, the area has even more appeal to potential residents. Maple Leaf has a tight-knit community kind of feel, while North College Park is a little more laid back, what with all the students and all. Haller Lake sees its fair share of activity, especially along its border at Aurora Avenue. Pinehurst is probably the quietest of them all, particularly on the north end.","Just for a minute, let’s pretend the mall isn’t there (sad, I know). What would you do in Northgate if there were no Nordstromor Target? Well, you could go golfing at the Jackson Park Golf Club. You could pick one of the many parks and hit up the swing sets or grassy knolls. You’re going to want to pop into holes-in-the-wall like Jebena Café, BurgerMaster, Gyro Hut, Bark! Espresso, or Boud’s Pinehurst Pub.Finally, book a spa day at one of the many salons—there are even some for dogs, too!"
ravenna,"Ravenna Boulevard meanders from Green Lake, past the University District, and on to the east toward Lake Washington. The charming neighborhood that takes its name from this street is the perfect place to call home.","Ravenna was once known for its wilderness—the creek that flowed into Green Lake and the forest of massive trees to be specific. City expansion would divert the water and turned the creek bed into what is now Ravenna Boulevard. The trees were gradually removed to make way for houses, but many still remain in the ravine at Ravenna/Cowen Park.","This is a remarkably quiet neighborhood, considering how close it is to the hubbub of the U-District and Greenlake. In fact, that’s a good way to describe the general vibe here: kind of, ‘We want to be in on the fun, but we don’t want it to keep us up at night.’ A small stretch of 65th Street near 20th Ave NE provides just enough activity to entertain the residents and draw in a few outsiders for a visit. Ravenna is also proud to call the University Village—aka “U-Village” shopping center part of its family; it’s one of the biggest attractions of the area, not to mention of the city in general!","The average person’s first stop when visiting Ravenna is at the U-Village. This outdoor mall is home to many stores that you would usually only see in the downtown area of a city—J. Crew, Anthropologie, Banana Republic, and H & M to name a few. It also has your more basic stops, like Gap, Barnes and Noble, and Eddie Bauer. This is a Young Mother’s paradise, with a play area, tons of cute shops geared toward children, and every child’s fantasyland, Trophy Cupcakes. In the summer, the Village closes off one of its parking lots for outdoor evening concerts, and in the winter there are umbrellas stationed handily at business entrances for you to use in between stores.Ravenna Park is also a worthy destination. At first glance, it seems like just a grassy field with some play equipment, but there are actually almost 50 acres of wooded land and many trails that meander through the ravine and connect to Cowen Park near the University District. Use one of the outdoor grills and covered picnic areas for a family outing, or bring your Frisbee or hula-hoop to pass the time like the locals do!"
roosevelt,"The Teddy Bear isn’t the only great thing that’s named after the wonderful Theodore Roosevelt; this neighborhood is, too! If that weren’t proof enough of its awesomeness, consider its central location, happening business district, and adorable houses the icing on the cake.","Roosevelt developed at the same time as nearby Ravenna, attracting residents as the University of Washington and Green Lake neighborhoods expanded. After Ravenna Park was built, President Roosevelt visited, and one of the landowner’s wives named the biggest tree in the park after him. The tree was cut down, but the name stuck around. The local high school also bears his name, as well as the main thoroughfare and one of the building developments.","Roosevelt is a little peppier than Green Lake and Ravenna, and a little less so than the University District. The intersection of two busy streets—Roosevelt Way running north to south, and 65th Street running east to west—forms a lively business district. The surrounding blocks have a mix of newer apartments/condos and original homes from the early 1900s. It’s a great neighborhood to enjoy on its own and is centrally located to give you easy access to other parts of the city.","It’s not hard to find something to do in Roosevelt. We like Rain City Burgers for their all-natural beef patties and yummy milkshakes. To go the true natural route, try Sunlight Café’s vegetarian menu—or just shop at Whole Foods! Casa Patron on 65th serves up decent Mexican grub, the buffet at India Bistro is definitely popular with the locals or opt fora savory pie at Pies and Pints farther up on 65th.Roosevelt also has a unique concentration of high-end audio shops. I’m going to chalk this one up to the university nearby and a higher than average concentration of audiophiles in the area. If you want to blow a few paychecks on some sweet audio equipment, stores like Definitive Audio, speakerlab or Magnolia Audio Video will be happy to help.Once you’ve stuffed yourself, do a little shopping at the many boutiques, consignment shops, and bookstores that are unique to the neighborhood. Finally, take a stroll through Cowen Park—you’ll be surprised at its size and how “away from it all” it feels there!Roosevelt also has a small, yet fun bar scene with a little something for everyone.Most of them are easy going, laid back pubs, but the Scarlet Tree has live music/DJ and somewhat of a hip-hop scene. The Atlantic Crossing can get pretty rowdy during Sounders and EPL games, whileTeddy’s is the one-stop shop for all sports TV games (plus they partner with Rain City to deliver burgers there directly)."
university-district,The University of Washington campus and the surrounding area is a magnet for the twenty-something crowd in Seattle. But don’t be fooled—you don’t have to be a student to enjoy this lively and funky neighborhood.,"When this land was first reserved as a potential site for a university or even an industrial center, the land developer called it Brooklyn, comparing the area to Brooklyn, New York, because of its position across the water from the main part of the city. Once the UW was established in 1895, people began referring to the area as University Station, and gradually the name Brooklyn fell by the wayside.The University of Washington was the site of the Alaska-Yukon-Pacific Exposition in the early 1900s, which led to the development of many new buildings, businesses, and the general beautification of the landscape. Much of the architecture still remains on campus, and the developers had the foresight to keep the view of Mt. Rainier unobstructed in many places. University Avenue was the center of the action for visitors. If you’ve been to ‘The Ave’ recently, you know that this phenomenon hasn’t changed in the past 100 years! Nor, probably, will it ever.","True to the predictions of its developers, the University District really is a ‘city within a city.’ It is a hub for public transportation (and just wait until the light rail arrives in a few short years!), has its own shopping center in the University Village, and houses a ridiculous number of ever-changing restaurants, bars, and shops along The Ave. Suffice it to say that there are enough things to do to keep thousands of college students busy at all hours of the day and night, year-round.","Even if you’re not a student, or in your twenties, the U-District still has tons of stuff that might appeal to you. The University Farmers Market runs year-round and is a great way to spend a Saturday morning. Pick up some produce for the week, chat up the super-friendly vendors, and listen to the street performers play their fiddles or didgeridoos (there’s always something different)!Every May, the U-District Street Fair takes over the Ave in a “country fair meets urban retail corridor” atmosphere. People flock from all over the city to see live bands perform, sample food from local vendors, and peruse the crafts of local artists.Popping through at a less peak time also has its benefits. Take a walk through UW campus and check out the infinitely cool library building or maybe the Burke Museum. If it’s rainy out (not that it ever is), the neighborhood has several historic theaters, including theSundance Cinema and Varsity as well as the Neptune, which is transforming to a music venue in Fall 2011. The Historic University Theater specializes in improv shows.Hungry? Go to Portage Bay Café for breakfast—they have a ‘toppings bar’ for you to doctor up your pancakes and French toast any way you like! Get some Thai food at Thai Tom for lunch, but be prepared to wait in line for one of their six tables. In the evening, hit up the College Inn pub, which was built for the very same Alaska-Yukon-Pacific Exposition that brought all the action to this neighborhood in the first place!"
view-ridge,"Perched on the top of the hill between Lake Washington and Wedgwood, it’s no surprise how View Ridge got its name.","This area used to be covered in trees, so technically there was no view to be had before the land was developed. Once the landowner decided to dabble in real estate, however, that all changed. Trees were slashed, lots were cleared, and suddenly Lake Washington and beyond were visible. The area was annexed into Seattle in 1942, and it wasn’t until 1988 that the last lot was finally sold and built upon.","This primarily residential area is definitely tranquil and well kept; houses have yards and streets have roundabouts. It’s a great place to be if you aren’t a fan of traffic and other city noise, though you don’t have to go far to run your basic errands; Wedgwood is just down the hill. Plus, if you’re the ‘club’ type of person, Sand Point County Club and View Ridge Swim and Tennis Clubs are both located in this neighborhood.","If a drive through the neighborhood is any indication, it seems that the main hobbies here are gardening, jogging, and playing tennis. There are at least two neighborhood parks with play equipment and sport courts, not to mention nearby Magnuson Park, the Burke-Gilman trail, and Matthews Beach for all your leisure needs."
wedgwood,"Although there seems to be conflict about whether it’s spelled ‘Wedgwood’ or ‘Wedgewood,’ most agree that this is a pretty great neighborhood. No matter where you go, signs on street corners proclaim that, “Wedgwood Welcomes You!” Why, thank you, Wedgwood! It’s great to be here!","The neighborhood first started its rapid growth during World War II, when a developer had 500 houses built in Cape Cod style to be used as housing for defense workers. This landowner’s wife had a set of Wedgwood china; hence the name (and true correct spelling). Throughout the years, Seattle’s first P-Patch was created, a large bog was transformed into a playfield, and Big Rock went from being a landmark for trails to a hangout spot for hoodlums to a nice spot maintained by local residents.","Wedged (har har) right in the center of north Seattle, this is a great place for families or anyone who wants a quiet and cozy atmosphere that’s still close enough to the action of the city. You’ll find modest houses that once in a while give way to pockets of bustling streets with shops and restaurants (nearly every block has a business that shares a name with the neighborhood—“Wedgwood Dental/Hair Studio/Broiler, etc.”) Strolling down 35th Ave NE is a good way to get a feel for the community, since this is where most commercial businesses are located.","A quick glance at the Wedgwood Community Center website shows that there is more to do here than it would seem. In the summer, they have outdoor movies. The PLANET:HOME sustainable living festival is held here every year. They’re currently building a community gathering place with an outdoor stage, and Dahl Playfield was recently spruced up to include a skate park and new play equipment.Several eateries are also worth mentioning—swing through in the morning for breakfast at Top Pot Doughnuts, have lunch at Grateful Bread Bakery, or try out Fiddler’s Inn for happy hour or live music in the evening."
windermere,"Located on the shores of Lake Washington, Windermere is an upscale neighborhood with great views and a private atmosphere.","Windermere developed alongside nearby Laurelhurst. Shortly after the native trees were removed, many moved into the area to try their hand at farming. This endeavor didn’t last long, as people recognized the potential for real estate development—especially suited for the wealthy. The neighborhood was annexed into Seattle in 1910, but it wasn’t for another thirty years or so that the area filled up with residents. Since then, little has changed. Windermere has kept the quiet residential feel that made it so popular to begin with.","The overwhelming feeling here is that of safety, security, and neighborliness. There aren’t many community events, and you won’t find a business district to appeal to visitors, but somehow when you’re there, you don’t feel like you’re missing out on anything. After all, when you have an amazing house with a stunning view, what else could you want?","Residents enjoy the amenities of a private park that has a playground, a ball field, tennis courts, and a lakefront beach. There is also easy access to the business district along Sandpoint Way, which has many options for shopping and dining. We like the always-good Pagliacci Pizza and the lesser-known Sand Point Grill.The Burke-Gilman trail runs right through the neighborhood, so if you enjoy biking, blading, or just a scenic stroll, you’ll have the perfect place to do it."
ballard,"Ballard has a rich history, but that doesn’t make it a has-been neighborhood. On the contrary, my friends! Ballard is respected as one of the hippest areas in all of Seattle.","Ever been driving along and seen “Free Ballard!” bumper stickers plastered all over the car in front of you? Well, here’s why: Ballard was once its own city, home to many people of Scandinavian descent who worked as fishermen, mill workers, and boat builders. The neighborhood thrived as the commercial district (aka Ballard Avenue) grew, and by 1900 it was the 2nd largest city in King County, with 17,000 residents. In 1907, however, the city of Ballard was annexed by Seattle because it was having trouble supplying its people with water and other services. That decision is still hotly attested by some. Hence the bumper stickers.","Because of its wide variety of residents, Ballard has a very unique personality. You’ve got the let’s-go-out-for-happy-hour crowd, the early-morning-market crowd, the trendy-shop-and-salon crowd, and the late-night-debauchery crowd. You can see it all in one spot–Ballard Avenue. This street was once the commercial district, but now houses about a gazillion restaurants, shops, bars, and art spaces. On one block, for instance, you can find the Smoke Shop (a complete dive bar frequented by fishermen), a self storage facility, a few of the trendiest bars in Ballard (Ocho, BalMar, and Volterra, for example), an architecture firm, and a music venue. Expand this example to Ballard as a whole, and you’ve got a pretty good idea of what it’s like there.","One of Ballard’s most-visited attractions is the Hiram M. Chittenden Locks, which were built in 1917. Engineering buffs will enjoy the well-orchestrated mechanics of it all, and dreamers can imagine sunning themselves on the huge yachts that pass through. You can also go to the underwater observatory and watch the salmon swimming up the fish ladder on their way to Lake Washington and beyond.In the summer months, Golden Gardens Park is a major destination. It’s one of the few sandy beaches in Seattle, and you’ll find beach volleyball courts, kite flyers, sand castles, and barbecue pits. Sure, the water is still frigid, but on the right day you feel just like you’re in Maui.Every Sunday during the year, the Ballard Farmer’s Market is open for business. Ballard Avenue is closed down to make room for local growers and vendors, plus a variety of artists selling their wares, from jewelry to furniture. This is one of the few year-round markets in the city, and since the selection is always changing, it’s easy to make it a weekly stop."
blue-ridge-north-beach,"With expansive views of Puget Sound, one of Seattle’s best parks—Carkeek—in its back yard, and beautiful homes that were almost all built within twenty years of each other, the Blue Ridge neighborhood of north Seattle has plenty to offer. Just south of Blue Ridge and bordering another stunner of a park, Golden Gardens, North Beach is a little less formal than Blue Ridge, but has similar homes and views. The two neighborhoods are often lumped together as the Blue Ridge/North Beach neighborhood.","After he tired of building airplanes, William Boeing decided to dip his toe into the land development market. He bought up a large chunk of land in northwest Seattle and began the Blue Ridge project. Trees were cleared, houses were built, and the wealthy of Seattle moved in. Five of the first homes, which were occupied by Boeing executives, still stand today and are referred to by residents as “the castles.”","Though years have passed and new types of people have moved in, Blue Ridge has kept its reputation as an elite community. A fancy community club, pristine landscaping, and streets that have a private-access kind of feel further cement this notion.","Being a residential neighborhood, Blue Ridge doesn’t have a business district or many destinations to check out. Except, of course, for Carkeek Park. Over 400 homes back up to the ravine that has trees, hiking trails, and picturesque streams and bridges. The park also has beach access, an environmental learning center, and picnic and playground areas where the infamous Bubble Man is known to dropinto entertain the kiddies. You can also head down to Golden Gardens Park for an excellent beach, off-leash dog area or an evening bonfire.Swanson’s Nursery is another gem situated in the neighborhood. Any home gardener would be happy to spend hours exploring their selection of plants, both native and exotic. It’s also a favorite spot to visit in December with Santa visits, elaborate Christmas displays, electric train, and of course a chance to get your fresh-cut Christmas tree!"
broadview,"Broadview is a neighborhood tucked in the far northwest corner of Seattle, bounded by the Seattle city limits on the north, Puget Sound on the west, Carkeek Park on the south and Greenwood Ave on the east.Broadview is perched on a slope that overlooks the Puget Sound. Its name is pretty obvious, as many homes have sweeping views of the Puget Sound and Olympic mountains.","The Broadview/Bitter Lake area was once heavily forested, but much of it succumbed to the boom during the Klondike Gold Rush when farmers and logging companies cleared much of the land and processed the lumber at a sawmill operation on Bitter Lake.Development of the Broadview area was spurred by the Seattle-Everett Interurban trolley and later became home to the Playland amusement park/dog racing track/speedway in nearby Bitter Lake.Broadview was annexed into Seattle in 1954. Playland shut down shortly after. It is now a popular residential area for Seattleites.","Broadview is decidely residential. While Greenwood Ave is packed with apartments, condos, townhomes and a few small commercial areas, everything west of there is a quiet neighborhood filled with single-family homes.Most homes were built betwenn 1940-1980, so it is one of the newer Seattle neighborhoods. As you might guess, homes in the flatter area to the east are modest and affordable. As you move down the slope towards the Sound, stunning views give way to fancier and pricier homes. There are even some gigantic estates tucked back in the forested areas.","The Playland amusement park at Bitter Lake is long gone, and this neighborhood doesn’t have many particular attractions except one truly exceptional one. Carkeek Park easily ranks as one of Seattle’s top parks. The park has 220 acres of watershed and forest with miles of hiking trails that culminate at the beach. Views of Puget Sound and the Olympic Mountains are stunning. It is hard to resist living nearby this gem of a park.The main commercial area, like grocery shopping, is actually a little further south on Holman Rd in Crown Hill, but there are a few eateries of note. Bick’s Broadview Grill is an unassuming neighborhood restaurant that serves slightly upscale comfort grub with a spicy kick. Saltoro also has many local devotees for their Italian fare."
crown-hill,"Located just north of Ballard, Crown Hill has a small-town feel while still being attractive to up-and-comers in the city.","Ironically, the first residents of Crown Hill were–to put it gently–dead. As Ballard grew, officials requested to use a plot of land north of the neighborhood as a cemetery, and Crown Hill Cemetery was created. Real-live people were slower to move in, but after World War II the population grew exponentially. The architecture of the houses reflects the era, and you’ll find many single-level brick houses with nice front lawns. Another period of growth happened in the 1980s and 90s, bringing about the construction of many apartments, condos, and townhouses.","Crown Hill is a little oasis of calm between the busier Ballard and Greenwood. The feel among the residences is very small-town and peaceful, though the business district is quite active. It’s a very involved community, too, with constant opportunities to bond with the neighbors, whether it’s a community garage sale night, a park clean-up work party, or an Annual Night Out for crime prevention. Every year, residents in Olympic Manor team up to create a beautiful holiday light display that is a popular sightseeing opportunity for people all over the city.","Whether you live in Crown Hill or not, you simply have to go check out the light display in December. It seems to transport you back to a time when the world was a little less hectic during the holiday season, and it really shows how this community works together.Holman Road houses the business district, which extends easily into Greenwood and Ballard. Visit Dick’s Drive-In for quick and cheap burgers and shakes, or try Patty’s Egg Nest for Swedish pancakes on the weekend. Deeper into the neighborhood lies Swanson’s Nursery, a gardener’s dreamland, and just a small distance north is Carkeek Park, which has beach access and miles of hiking trails."
fremont,"Center of the Universe? Well doesn’t SOMEone have an over-exaggerated sense of themself?Fremont doesn’t get this moniker for nothing. They are, in fact, quite centrally located in the city of Seattle – located just North of Downtown and centrally positioned among most Seattle neighborhoods. Companies like Adobe Systems, Google, and Getty Images have chosen Fremont as their Seattle headquarters. With excellent restaurants, nightlife, a variety of living choices (homes, condos, townhomes) this is a great place to call home.","Flashback to 1891 and you would find 5000 early pioneers living here, with their own wood mill and a draw-bridge-free commute to downtown (this was pre-ship canal days, afterall). The early 1940s saw an end to rail and trolley service to the area, and sent the area into a bit of a lull. Neglect and low rents turned Fremont into an attractive option for artists and students in the 1960s – laying the groundwork for the funky and eclectic vibe still apparent today.","Come to Fremont if you feel the need for more excitement in your life. One glance at the neighborhood’s event calendar and you’ll see there is always a party here. The main business district has a huge variety of different eateries, a brewery, a chocolate factory, and access to one of the best sections of the Burke Gilman – right along the Ship Canal. Not to mention non-stop action at the Fremont Draw Bridge. There is a pretty decent hillside as you go up to 45th – so you can get a good calf workout as you take a deeper dive into the neighborhood to check out the gorgeous homes and off-the-beaten path businesses.","Fremont has a festival or event for all ages and lifestyles, including the Summer Solstice Parade (a colorful Mardi Gras-style parade with the famous rogue band of nekkid bicyclists), Oktoberfest, Outdoor Movies and First Friday Artwalk to name a few. Each Sunday, bargain hunters flock to the Fremont Sunday Street Market – a flea market / farmer’s market style gathering with food vendors too.In Fremont, you can take a tour of a chocolate factory, distillery, and brewery – all in one day! You can also grab an amazing sandwich at Paseos, eat a freshly made pie at Pie, slurp a bowl of Pho at Lucky’s, or sit down for creative Mexican cuisine and a killer margarita at el Camino.The creative vibe is still alive and well here, with great galleries, boutiques, an excellent statuary and garden shop, and a couple of antique stores.No one leaves Fremont without saying hi to the Troll, checking out what is accessorizing the Interurban sculpture , or blasting off the Rocket. What’s not to love about the Center of the Universe?"
green-lake,"True or False: Green Lake is a lake in Seattle.If you answered ‘True’, then you’re partly correct, but you have a lot to learn. Green Lake is way more than just a body of water, it’s a whole neighborhood!","Pioneers first settled at Green Lake in the 1860’s, and the area was annexed into Seattle in 1891. The water level was lowered in 1911 to form more park space, cutting off the water inflow and outflow routes. Now it is fed only by rain water and Seattle’s water supply. There is also a constant battle to keep the native algae from taking over (hence the name of the lake, by the way).Because of its close proximity to downtown Seattle and the great number of things to do there, Green Lake is a highly popular neighborhood. In the past 15 years or so there has been a great deal of development–new condos and town homes, remodeling of houses, and many new businesses.","The general attitude in Green Lake seems to be  The people here love to get outside, whether it’s just to walk to the library or grab dinner, or head down to Green Lake park for a run. There isn’t a huge nightlife scene here, although you could take country line dancing lessons at The Little Red Hen or catch a live band on Friday nights at the Latona Pub.In general, the people are friendly and have an early-to-bed, early-to-rise lifestyle.","The obvious landmark here is that of the lake itself. The most popular activities include walking or jogging around the 2.8-mile track, renting kayaks, or playing in one of the many sports leagues that meet here. Also, if you happen to own a strange wheeled contraption, such as a unicycle or one of those bicycles-on-stilts, feel free to bring it on down! It might not be advertised, but we’re pretty sure there’s an unofficial contest for the weirdest wheels.But wait, that’s not all! Why not golf a few holes at Green Lake Pitch n Putt? Even amateurs can find success at this course. Or, if you’re feeling lazy, try checking out the hidden Tangletown area. Once you’ve found your way through the maze of streets, you can grab a Mighty O doughnut, try the Seattle Dog at Hot Diggity, or have happy hour on the patio at the Elysian brewery.But wait, that’s not all! Some of the oldest institutions here are located right on the lake. The Green Lake Library, a gorgeous old building, has prime real estate among the posh houses that overlook the lake. The Bathhouse Theater, built in 1927, hosts plays put on by the Seattle Public Theater.That’s certainly not all, but we could go on all day. Most of the fun, after all, is finding your own favorite spots. Enjoy!"
greenwood,"Greenwood has risen from the bog of its past (literally!) to become a busy, family-friendly, affordable neighborhood.","Humbler beginnings are hard to come by. In its early days, Greenwood (then called Woodland) was known for its wet, marshy landscape and, frankly, its cemetery. As demand for land grew and the trolley lines made their way north, the cemetery was transplanted to Crown Hill and the building began. By the 1940’s, Greenwood Avenue was known as the “Miracle Mile” because of its plethora of shops, pharmacies, banks, restaurants, and even a department store. The bog threatened to swallow up some of the lower houses, but the annexation of Greenwood into the city of Seattle provided much needed infrastructure changes that kept the neighborhood from sinking back from whence it came.","Today, Greenwood’s business district remains as successful as it was decades ago. The area around 85th Street and Greenwood Avenue is booming with coffeehouses, antique stores, bars, and eateries, along with a community theater. The community hosts many events that appeal to families and urbanites alike. Things tend to quiet down at night, which makes this the perfect place to live if you like to be on the move during the day and a homebody when the sun goes down.","Let’s start with the major events that Greenwood hosts every year. There’s the Greenwood Car Show every June, and the beloved Seafair parade in August—complete with the Seafair Pirates and a synchronized motorcycle routine by the local police force. Monthly art walks showcase not only local artists, but give you a chance to tour all of the interesting businesses along Greenwood Avenue.The Taproot Theatre is still going strong despite being damaged in a fire in 2009. One of the largest mid-size theatre companies in Seattle, their mission is to “create theatre that explores the beauty and questions of life while providing hope to our search for meaning.” They accomplish this by putting on plays on their main stage, offering classes to budding actors of all ages, and by traveling to schools and clubs to perform on the road. They even have their own café now!Other worthy stops include the Greenwood library, newly renovated and a pleasant space, Top Ten Toys, one of the coolest toy stores in the city, and Green Bean Coffeehouse, which devotes equal time to making a great community as it does making a great latte. Try Mr. Gyros for a pita wrapped around something amazing, or go to Naked City Taphouse for a cold brew and yummy dinner. The latest hot spot is Chuck’s Hop Shop – proudly deemed “The Land of a Thousand Beers”. It also features a rotating schedule of daily food trucks – making it the perfect spot for a quick bite and a beer! And if you have a sweet tooth, the case of homemade truffles at Chocolati Café is sure to make your cavities ache for more."
haller-lake,"It’s hard to believe that a tiny lake could have an entire neighborhood named after it, but that’s a testament to the special feel of the private little waterfront and surrounding area.","Let’s call Haller Lake a ‘late bloomer’ of a neighborhood. No one really settled in the area until the mid-1900s; with the many other smaller neighborhoods nearer to downtown, there was no reason to. The majoring of households were on large plots of land with enough room far farm animals and orchards. The small lake, originally owned by John Welch and then bought by Theodore Haller, was the most desirable place to settle.A woman named Clare Huntoon saw potential, however, and purchased a bunch of land. Nothing much became of it as far as housing is concerned, but her land is now home to major businesses and community centers, ranging from Ingraham High School and Helene Madison pool to Northwest Hospital and the Evergreen-Washelli cemetery.Residents of the community have long resisted expansion and population growth due to their love of the environment and their disdain for traffic congestion.","The atmosphere in Haller Lake varies widely depending on where you are in the neighborhood. On its edges, near Aurora Avenue to the west and Northgate Way to the south, are the business districts (and the traffic we mentioned before). As you head towards the center, the activity fades and quiet residential streets take over. With larger plots of land than other places in the city, residents can spread out a little and enjoy the quiet.","Haller Lake itself has a ‘secret garden’ kind of feel; only one road lends public access, and the four or so parking spaces only further the sensation that you’ve stumbled across something private. The water has that glassy quality from being sheltered from wind and watercraft, and the small shore is perfect for a picnic or just sunbathing.Nearby Northacres Park is perfect for letting the dog out for some off-leash time on the woodsy trails, or bringing the kids for some wading pool action.Haller Lake also offers the only granite curling facility in the area. Grab a broom, join a team, or sign up for some practice time at one of their monthly open houses to try your hand at that newly-famous sport!"
loyal-heights,Nestled in the middle of Ballard is the Loyal Heights residential area. Poking around among the adorable homes here makes it easy to see why residents here would be loyal to their sweet neighborhood.,"Loyal Heights was first considered a suburb of the city of Ballard, before it was annexed into Seattle. It includes the area north of 65th and west of 15th Avenue, extending to Puget Sound, though sometimes the western part is referred to as Sunset Hill. The man who first developed the area had a daughter named Loyal. He must have loved her a lot, because he not only named the neighborhood after her, but also Loyal Beach and the local trolley line. (As a side note, you have to wonder how is other daughter, Priscilla, felt about all of that!)Nearly all of the residences here are homes that were built before the 1960s, which only adds to the old-school charm of this neighborhood.","Life seems to slow down when you enter Loyal Heights. Away from the organized chaos of Ballard, it’s easy to relax and enjoy the view of Puget Sound and the Olympic Mountains. Yet, because of its location, you don’t feel disconnected from the city, either. The area around 15th Avenue is the busiest, and as you head west and down toward the water, things get more and more calm.","Along the main streets of 15th Avenue and 80th Street, there are many places unique to Loyal Heights. Around the intersection of 80th and 24th, Larsen’s Bakery is famous citywide for its traditional Danish Kringle, and the nearby Fresh Fish Company and Italian Meat Market can help round out your meal planning for the week.If you’re looking for something a little more out-of-the-ordinary, why not stop by Zen Dog Studio & Tea House Gallery, where you can meet the owner (aka Zen Dog), sip tea, and view the Asian artwork collection? Or sign up for a class at Pole for the Soul where you can channel your inner pole-dancer."
magnolia,"There’s a lot going on in this neighborhood: waterways, railways, golf course, military fort, beaches, and tremendous views all the way ‘round.","In its early days, Magnolia wasn’t a very popular place. The land wasn’t great for farming and it was hard to get to, being a peninsula and all. One very smart man, however, saw potential. “Hmm,” Dr. Henry Smith probably said to himself, “Here we’ve got this great downtown area, some low-lying land perfect for a rail line, and nearby a nice little cove. I’m gonna buy me that cove and make a killing in the shipping industry!” And that is what he did, though it took 40 years before the train actually got there. Magnolia became a major trade post, bringing goods in from across the Pacific. (Today, Smith Cove is a cruise ship terminal, which is equally important!)It didn’t take long before the roads improved, and people could settle in the hills of Magnolia. The military built Fort Lawton on the northwest section of the peninsula. At its prime 20,000 soldiers were stationed here, but after the Vietnam war, 85% of the land was sold to the city. Discovery Park was created, giving us the biggest park in the entire city.","Because it’s on a peninsula, Magnolia has a secluded feel. Looking at the neighborhood from outside, you might think there isn’t much more there than houses and a marina. Wrong! The area around McGraw Street and 34th Avenue W is a little pocket of activity, with aWalk Scorerivaling that of Fremont or Greenlake. A glance at the neighborhood’s blogshows that there’s always something going on here, be it a farmer’s market, the yearly SummerFest celebration, a free nature walk at Discovery Park, or a spur-of-the-moment community outreach event.Not to be left out is Fisherman’s Terminal, located right on Salmon Bay near the 15th Street Bridge. Here, you can walk around on the docks and admire the real-life fishing boats, then stop in at the market tobuy the seafood caught that very day. Though not as famous as the Pike Place Market, rumor has it that this is an even better way to experience the local fishing culture.","Discovery Park is one of the biggest lures that Magnolia offers. Its offerings run the gamut from hiking trails to tide pools, with streams, meadows, and sandy beaches in between. The greatest part of the park is their dedication to nature education; throughout the year you can attend classes to learn about the flora and fauna native to the region—bird watching and low tide walks are some of the most popular. Also located in Discovery Park is the Daylight Star, a Native American cultural center complete with conference center, facilities for pow wows, and an art gallery.If you prefer the neighborhoody over the outdoorsy, try visiting the cluster of blocks around McGraw Street and 34th Avenue West. It’s something you have to stumble across, but once you’re there you’ll be set for the day. In the summer, this is the spot of the Saturday farmer’s market. Or come through any day or season and visit the plentiful cafes, salons, boutiques and bakeries. Food options include Hawaiian, Mexican, sushi, Italian, sandwiches, Thai, pub grub…anything! The community pool and library are also big hits with the kids."
